,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,37.4,69,75,9.17,AR,1601304276
1,Rikitea,-23.12,-134.97,74.37,81,4,8.55,PF,1601304315
2,Albany,42.6,-73.97,72.0,91,99,10.71,US,1601304316
3,Saint Paul Harbor,57.79,-152.41,46.4,87,90,9.69,US,1601304316
4,Zhezkazgan,47.8,67.71,48.2,34,0,8.95,KZ,1601304316
5,Vaini,-21.2,-175.2,71.6,94,20,4.7,TO,1601304316
6,Punta Arenas,-53.15,-70.92,39.2,55,40,9.17,CL,1601304317
7,Lebu,-37.62,-73.65,52.21,75,98,10.25,CL,1601304317
8,Haines Junction,60.75,-137.51,40.98,84,100,9.22,CA,1601304317
9,Yellowknife,62.46,-114.35,46.4,100,75,6.93,CA,1601304317
10,Arraial do Cabo,-22.97,-42.03,84.2,62,1,3.36,BR,1601304318
11,Okhotsk,59.38,143.3,47.43,76,99,8.25,RU,1601304318
12,Saint-Philippe,-21.36,55.77,75.2,69,45,10.58,RE,1601304318
13,Bluff,-46.6,168.33,36.0,79,96,25.01,NZ,1601304318
14,Jamestown,42.1,-79.24,66.0,88,75,13.87,US,1601304319
15,Atuona,-9.8,-139.03,77.4,75,6,16.55,PF,1601304319
16,Nikolskoye,59.7,30.79,59.0,58,72,6.71,RU,1601304319
17,Avarua,-21.21,-159.78,71.6,83,88,6.93,CK,1601304319
18,Opunake,-39.46,173.86,46.99,79,94,11.01,NZ,1601304320
19,Bredasdorp,-34.53,20.04,66.2,39,0,18.34,ZA,1601304320
20,Adrar,20.5,-10.07,96.87,16,0,4.41,MR,1601304320
21,New Norfolk,-42.78,147.06,48.0,83,20,1.83,AU,1601304321
22,Saint-Joseph,-21.37,55.62,75.2,69,37,9.51,RE,1601304321
23,Kostryzhivka,48.65,25.71,66.0,62,96,5.99,UA,1601304321
24,Ocampo,21.65,-101.5,66.2,37,88,7.7,MX,1601304321
25,Kuala Terengganu,5.33,103.14,82.4,88,20,7.49,MY,1601304321
26,Paita,-5.09,-81.11,66.2,82,75,9.17,PE,1601304322
27,Singapore,1.29,103.85,84.2,79,75,4.7,SG,1601304193
28,Abu Samrah,35.3,37.18,90.79,21,0,12.35,SY,1601304322
29,Puerto Ayora,-0.74,-90.35,69.01,86,99,5.99,EC,1601304322
30,Kapaa,22.08,-159.32,78.8,78,40,9.17,US,1601304323
31,Hermanus,-34.42,19.23,60.01,67,0,5.99,ZA,1601304323
32,Menongue,-14.66,17.69,97.86,9,4,5.55,AO,1601304323
33,Butaritari,3.07,172.79,81.54,73,81,12.33,KI,1601304323
34,Sault Ste. Marie,46.52,-84.33,55.4,93,90,5.82,CA,1601304324
35,Ellensburg,47.0,-120.55,46.0,86,1,2.39,US,1601304324
36,Zhigansk,66.77,123.37,32.99,91,17,6.89,RU,1601304218
37,Ballina,-28.87,153.57,57.2,82,90,4.7,AU,1601304324
38,Narsaq,60.92,-46.05,37.4,40,5,3.36,GL,1601304325
39,Westport,41.14,-73.36,73.0,83,90,10.29,US,1601304325
40,Tara,56.89,74.37,52.74,94,98,6.44,RU,1601304141
41,Barrow,71.29,-156.79,30.2,86,90,9.17,US,1601304326
42,Busselton,-33.65,115.33,50.0,75,49,9.1,AU,1601304326
43,Mataura,-46.19,168.86,36.0,79,100,25.01,NZ,1601304326
44,Boende,-0.22,20.87,71.67,96,100,3.78,CD,1601304327
45,Mezen',65.85,44.24,50.41,94,100,5.1,RU,1601304327
46,Bethel,41.37,-73.41,71.01,88,75,6.93,US,1601304327
47,Castro,-24.79,-50.01,80.08,58,67,14.05,BR,1601304327
48,Mahébourg,-20.41,57.7,75.2,78,40,8.05,MU,1601304043
49,Sokoto,13.06,5.24,97.03,30,0,6.22,NG,1601304328
50,Lorengau,-2.02,147.27,79.52,82,99,7.4,PG,1601304328
51,Hong Kong,22.29,114.16,81.0,88,99,1.99,HK,1601304073
52,Lázaro Cárdenas,17.96,-102.2,81.0,75,99,3.11,MX,1601304328
53,Borogontsy,62.67,131.17,41.86,86,100,6.73,RU,1601304329
54,Khatanga,71.97,102.5,31.44,96,100,14.14,RU,1601304329
55,Huarmey,-10.07,-78.15,66.92,68,17,8.21,PE,1601304181
56,Norman Wells,65.28,-126.83,41.0,93,90,11.41,CA,1601304329
57,Kalengwa,-13.47,25.0,97.05,12,94,2.42,ZM,1601304330
58,Río Gallegos,-51.62,-69.22,42.8,56,75,24.16,AR,1601304330
59,Mar del Plata,-38.0,-57.56,55.0,81,75,17.22,AR,1601304272
60,Ust-Tsilma,65.44,52.15,41.92,88,100,6.89,RU,1601304331
61,Contai,21.78,87.75,82.31,84,32,3.87,IN,1601304331
62,Chui,-33.7,-53.46,62.51,65,40,15.05,UY,1601304331
63,Kjøllefjord,70.95,27.35,51.8,76,20,9.17,NO,1601304331
64,Alofi,-19.06,-169.92,73.4,100,20,9.17,NU,1601304191
65,Saskylakh,71.92,114.08,31.69,98,100,21.39,RU,1601304255
66,Mount Isa,-20.73,139.5,73.4,12,0,12.41,AU,1601304332
67,Santa Maria,-29.68,-53.81,62.6,72,75,4.7,BR,1601304333
68,Hithadhoo,-0.6,73.08,83.93,68,90,8.3,MV,1601304303
69,San Felipe,10.34,-68.74,88.84,56,23,1.77,VE,1601304333
70,Umm Kaddadah,13.6,26.69,98.1,19,11,11.36,SD,1601304333
71,Peace River,56.25,-117.29,55.4,71,75,18.34,CA,1601304334
72,Biu,10.61,12.19,79.48,67,77,0.96,NG,1601304334
73,Tsiroanomandidy,-18.77,46.03,81.61,37,92,6.44,MG,1601304173
74,Maragogi,-9.01,-35.22,81.1,72,5,12.71,BR,1601304334
75,Mango,27.98,-82.31,81.0,88,40,3.36,US,1601304078
76,Tiksi,71.69,128.87,35.1,84,100,17.09,RU,1601304335
77,San Juan del Sur,11.25,-85.87,82.4,78,20,6.93,NI,1601304335
78,Cape Town,-33.93,18.42,62.01,67,40,11.41,ZA,1601304240
79,Buala,-8.14,159.59,79.88,80,100,8.19,SB,1601304335
80,Hamilton,39.18,-84.53,71.01,88,40,6.93,US,1601304180
81,Iquique,-20.22,-70.14,62.6,63,75,12.75,CL,1601304336
82,Hinganghāt,20.57,78.83,75.2,94,90,5.48,IN,1601304336
83,Auki,-8.77,160.7,77.2,85,93,4.12,SB,1601304336
84,Mint Hill,35.18,-80.65,73.99,83,20,5.82,US,1601304043
85,Caborca,30.58,-111.1,83.84,20,0,5.46,MX,1601304337
86,Amahai,-3.33,128.92,77.22,87,91,3.36,ID,1601304337
87,Aklavik,68.22,-135.01,35.6,100,90,8.05,CA,1601304337
88,Hilo,19.73,-155.09,71.6,73,1,4.7,US,1601304338
89,Pevek,69.7,170.31,35.33,84,0,11.61,RU,1601304213
90,Kavaratti,10.57,72.64,81.43,78,72,10.56,IN,1601304338
91,Nsanje,-16.92,35.26,102.61,17,0,8.7,MW,1601304338
92,Katsuura,35.13,140.3,69.8,77,40,11.41,JP,1601304112
93,Thompson,55.74,-97.86,39.2,93,90,5.82,CA,1601304339
94,Lüderitz,-26.65,15.16,63.37,46,0,30.18,NA,1601304339
95,Grindavik,63.84,-22.43,44.6,75,75,10.29,IS,1601304339
96,Tilichiki,60.47,166.1,35.29,90,2,3.02,RU,1601304340
97,Talnakh,69.49,88.4,33.8,92,75,17.9,RU,1601304340
98,Santa Rosa,14.31,121.11,78.8,88,75,4.27,PH,1601304340
99,Enshi,30.3,109.48,61.63,85,98,0.76,CN,1601304340
100,Ilulissat,69.22,-51.1,30.2,63,75,3.36,GL,1601304341
